Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,174.5,175.5,173.5,175.5,169.355362,5953500.0
2017-02-02,175.0,177.0,174.5,175.5,169.355362,5250500.0
2017-02-03,175.0,178.5,175.0,178.5,172.250336,5470600.0
2017-02-06,178.5,181.5,178.5,180.5,174.18031299999998,8150800.0
2017-02-07,180.5,181.0,179.0,180.0,173.697815,3648600.0
2017-02-08,180.0,180.0,178.5,179.0,172.732819,2574200.0
2017-02-09,179.5,182.5,179.5,181.0,174.662796,7290700.0
2017-02-10,182.0,182.5,181.0,182.5,176.110275,3589100.0
2017-02-13,182.5,182.5,182.5,182.5,176.110275,0.0
2017-02-14,182.0,182.5,179.0,179.0,172.732819,2841700.0
