Date,Symbol,Open,High,Low,Close,Adj Close,Volume
20170201,bbl,174.5,175.5,173.5,175.5,169.355362,5953500
20170201,ktb,19,19.200001,18.9,19.200001,18.366062,21752200
20170201,scb,150.5,153,150.5,152,146.727814,6969200
20170202,bbl,175,177,174.5,175.5,169.355362,5250500
20170202,ktb,19.200001,19.200001,18.9,19,18.174747,40206000
20170202,scb,152,153,151,151,145.762512,6529100
20170203,bbl,175,178.5,175,178.5,172.250336,5470600
20170203,ktb,19,19.1,18.9,19.1,18.270405,48912400
20170203,scb,151,153.5,151,153,147.69313,6597700
20170206,bbl,178.5,181.5,178.5,180.5,174.180313,8150800
20170206,ktb,19.200001,19.299999,18.9,19,18.174747,77639200
20170206,scb,154,155,153.5,154.5,149.141098,9901200
20170207,bbl,180.5,181,179,180,173.697815,3648600
20170207,ktb,18.9,19.1,18.799999,19,18.174747,49866700
20170207,scb,154.5,155,153.5,154,148.658447,3802600
